Date,Week,Month,Quarter,Year,Txns,Sales $
1-Feb-2015,Wk01,FEB,Q1,2015,"52,713","$3,702,555"
2-Feb-2015,Wk01,FEB,Q1,2015,"51,179","$3,304,841"
3-Feb-2015,Wk01,FEB,Q1,2015,"47,104","$2,249,507"
4-Feb-2015,Wk01,FEB,Q1,2015,"48,408","$2,556,367"
5-Feb-2015,Wk01,FEB,Q1,2015,"47,772","$2,378,630"
6-Feb-2015,Wk01,FEB,Q1,2015,"56,912","$2,947,117"
7-Feb-2015,Wk01,FEB,Q1,2015,"62,463","$4,029,969"
8-Feb-2015,Wk02,FEB,Q1,2015,"50,548","$2,999,386"
9-Feb-2015,Wk02,FEB,Q1,2015,"46,557","$2,226,300"
10-Feb-2015,Wk02,FEB,Q1,2015,"48,906","$2,388,968"
11-Feb-2015,Wk02,FEB,Q1,2015,"55,117","$3,245,039"
12-Feb-2015,Wk02,FEB,Q1,2015,"63,380","$3,638,981"
13-Feb-2015,Wk02,FEB,Q1,2015,"93,672","$6,354,057"
14-Feb-2015,Wk02,FEB,Q1,2015,"76,743","$5,633,760"
15-Feb-2015,Wk03,FEB,Q1,2015,"53,396","$3,677,450"
16-Feb-2015,Wk03,FEB,Q1,2015,"46,192","$2,949,185"
17-Feb-2015,Wk03,FEB,Q1,2015,"37,596","$1,743,511"
18-Feb-2015,Wk03,FEB,Q1,2015,"47,417","$2,300,090"
19-Feb-2015,Wk03,FEB,Q1,2015,"50,808","$2,666,986"
20-Feb-2015,Wk03,FEB,Q1,2015,"55,793","$3,016,078"
21-Feb-2015,Wk03,FEB,Q1,2015,"60,669","$3,937,194"
22-Feb-2015,Wk04,FEB,Q1,2015,"47,956","$2,866,881"
23-Feb-2015,Wk04,FEB,Q1,2015,"44,944","$2,026,886"
24-Feb-2015,Wk04,FEB,Q1,2015,"47,261","$2,235,185"
25-Feb-2015,Wk04,FEB,Q1,2015,"51,736","$2,703,491"
26-Feb-2015,Wk04,FEB,Q1,2015,"45,717","$2,507,564"
27-Feb-2015,Wk04,FEB,Q1,2015,"64,186","$3,653,057"
28-Feb-2015,Wk04,FEB,Q1,2015,"67,849","$4,652,902"
1-Mar-2015,Wk05,MAR,Q1,2015,"51,730","$3,386,908"
2-Mar-2015,Wk05,MAR,Q1,2015,"49,587","$2,355,932"
3-Mar-2015,Wk05,MAR,Q1,2015,"49,272","$2,450,016"
4-Mar-2015,Wk05,MAR,Q1,2015,"51,522","$2,539,468"
5-Mar-2015,Wk05,MAR,Q1,2015,"44,286","$2,170,206"
6-Mar-2015,Wk05,MAR,Q1,2015,"56,349","$3,058,260"
