Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Sun,1/31/2016,5262.83,5400.00,5254.69,948.97,662.07, 0.18 , 0.13 ,0,1,0,1,0,0,1,0,0,0,0,1
Mon,2/1/2016,4490.10,4800.00,4814.58,458.03,514.16, 0.10 , 0.11 ,0,0,1,0,0,0,0,0,0,0,1,0
Tue,2/2/2016,5449.20,4400.00,4010.30,498.95,260.83, 0.09 , 0.07 ,0,0,0,0,0,0,0,0,0,0,1,1
Wed,2/3/2016,4218.19,4200.00,4759.39,308.00,237.78, 0.07 , 0.05 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,2/4/2016,4281.77,4400.00,4333.44,295.39,3196.40, 0.07 , 0.74 ,0,0,0,0,0,0,1,0,0,0,0,0
Fri,2/5/2016,5089.64,5400.00,5116.03,624.16,2610.91, 0.12 , 0.51 ,0,0,0,0,0,1,0,1,0,0,0,0
Sat,2/6/2016,5433.77,5800.00,5979.35,457.77,303.03, 0.08 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/7/2016,3754.94,4400.00,4425.06,280.27,210.59, 0.07 , 0.05 ,0,0,0,0,0,0,1,0,0,0,0,0
Mon,2/8/2016,3461.65,4200.00,3799.67,1570.37,3120.77, 0.45 , 0.82 ,0,0,0,0,0,1,0,0,0,0,0,0
Tue,2/9/2016,3838.86,4200.00,4167.29,1302.08,750.16, 0.34 , 0.18 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,2/10/2016,5305.54,5800.00,5431.33,2133.52,431.90, 0.40 , 0.08 ,1,0,0,0,1,0,0,0,0,0,0,0
Thu,2/11/2016,5784.25,5800.00,5850.05,2039.36,446.85, 0.35 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,2/12/2016,6892.76,8200.00,8998.17,626.61,1280.20, 0.09 , 0.14 ,0,0,1,0,1,0,0,1,1,0,0,0
Sat,2/13/2016,6941.80,7775.00,7475.51,583.57,1010.39, 0.08 , 0.14 ,0,0,0,0,0,1,0,0,0,0,0,0
Sun,2/14/2016,4986.11,4123.00,5003.69,406.68,775.57, 0.08 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/15/2016,3865.13,4234.00,4191.92,599.08,798.39, 0.15 , 0.19 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,2/16/2016,4163.46,3955.00,3245.14,351.67,355.10, 0.08 , 0.11 ,0,0,0,0,0,0,0,0,0,0,1,1
Wed,2/17/2016,4272.79,4345.02,4284.43,395.49,415.08, 0.09 , 0.10 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,2/18/2016,4308.18,4345.02,4705.68,285.34,423.43, 0.07 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,2/19/2016,4997.40,5514.31,5247.05,447.51,480.07, 0.09 , 0.09 ,0,0,0,0,0,0,0,1,1,0,0,0
Sat,2/20/2016,5145.93,5124.55,5523.73,335.78,526.09, 0.07 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/21/2016,3958.04,3955.25,4089.78,302.50,365.23, 0.08 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/22/2016,3651.25,3565.49,3672.62,312.65,380.71, 0.09 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,2/23/2016,3872.82,3955.25,4070.51,436.18,377.86, 0.11 , 0.09 ,0,0,0,0,0,0,0,0,0,0,1,0
Wed,2/24/2016,5876.71,5435.00,5005.76,2123.09,401.26, 0.36 , 0.08 ,1,0,0,1,0,0,0,0,0,0,0,1
Thu,2/25/2016,4729.04,5765.00,4279.07,1075.59,341.80, 0.23 , 0.08 ,0,0,0,0,0,0,0,0,0,0,1,1
Fri,2/26/2016,5555.52,5127.55,5971.74,1068.09,510.56, 0.19 , 0.09 ,0,0,0,0,0,0,0,1,0,0,0,0
Sat,2/27/2016,6470.11,5514.31,6525.08,1135.06,565.29, 0.18 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/28/2016,4304.22,4700.00,4726.52,313.75,524.94, 0.07 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/29/2016,3749.17,4035.00,4016.54,615.94,850.01, 0.16 , 0.21 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,3/1/2016,3962.17,4305.00,4277.65,1085.37,1092.77, 0.27 , 0.26 ,0,0,1,0,0,0,0,0,0,0,0,0
Wed,3/2/2016,4563.00,4690.00,4643.96,323.71,273.87, 0.07 , 0.06 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,3/3/2016,4277.78,4055.00,4003.22,594.73,814.44, 0.14 , 0.20 ,0,0,0,0,0,0,0,0,0,0,1,1
Fri,3/4/2016,4947.09,5320.00,5278.98,349.20,307.97, 0.07 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,3/5/2016,5232.14,5500.00,5435.09,333.82,225.95, 0.06 , 0.04 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,3/6/2016,4041.35,4165.00,4138.52,256.16,172.32, 0.06 , 0.04 ,0,0,0,0,0,0,0,0,0,0,1,0
Mon,3/7/2016,3701.63,3465.00,3490.38,1168.91,1245.06, 0.32 , 0.36 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,3/8/2016,3937.13,3655.00,3612.32,1082.59,1557.24, 0.27 , 0.43 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,3/9/2016,4764.49,4770.00,7845.18,347.29,1254.35, 0.07 , 0.16 ,1,0,0,0,1,0,1,0,0,0,0,0
Thu,3/10/2016,4330.98,4660.00,6481.36,1085.60,1453.17, 0.25 , 0.22 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,3/11/2016,5017.45,5140.00,7283.07,324.22,861.04, 0.06 , 0.12 ,0,0,0,0,0,0,0,1,0,0,0,0
