DISTRICT,LOC_NUM,LOC,GROUP,FEATURE_ITEM,ITEM_DESC,PO_NUM,OTB_EOW_DATE,ORDER_TYPE,OH_UNITS,IT_UNITS,OO_UNITS,QTY_ORDERED
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,211:CAMERAS,9728797,(D) NIKON D5500 DSLR CAMERA W/18-140MM LENS- BUILT IN WIFI- BLK_D,0,,,3,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,211:CAMERAS,10783813,CANON EOS REBEL T7I DSLR W/EF-S 18-55MM IS STM-(1894C002),18678226,3/25/2017,N/B,0,0,4,4
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,211:CAMERAS,10783813,CANON EOS REBEL T7I DSLR W/EF-S 18-55MM IS STM-(1894C002),18699561,4/1/2017,BRB,0,0,1,1
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,213:SPORTING GOODS,9494556,COLMAN OASIS 6-PERSON DOME TENT,0,,,3,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,213:SPORTING GOODS,9494593,COL OASIS 8P DOME TENT,0,,,2,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,"240:YMEN,SRF,SKT,DNM,SWM",10562180,OCT HUF ORIGINAL DIPPED HEATHER SS TEE SHIRT CHAR:050 GREY SLV:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,"240:YMEN,SRF,SKT,DNM,SWM",10562180,OCT HUF ORIGINAL DIPPED HEATHER SS TEE SHIRT CHAR:050 GREY SLV:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,"240:YMEN,SRF,SKT,DNM,SWM",10562180,OCT HUF ORIGINAL DIPPED HEATHER SS TEE SHIRT CHAR:050 GREY SLV:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,"240:YMEN,SRF,SKT,DNM,SWM",10562180,OCT HUF ORIGINAL DIPPED HEATHER SS TEE SHIRT CHAR:050 GREY SLV:XL,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562564,IG CARDIGAN BLACK HOLIDAY:001 BLACK:24M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562583,IG CARDIGAN RED HOLIDAY:600 RED:24M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562614,IG 2PC DRESS SET LACE OVERLAY HOLIDAY:153 WHITE OTHER:18M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562624,IG 2PC DRESS SET METALLIC HOLIDAY:153 WHITE:18M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562624,IG 2PC DRESS SET METALLIC HOLIDAY:153 WHITE:24M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562672,IG 2PC DRESS SET FLORAL HOLIDAY:400 BLUE:24M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,245:INFANTS,10562700,IG 2PC DRESS SET PLAID HOLIDAY:600 RED:18M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562203,THE NORTHFACE HALF DOME HOODIE BLACK/ASP:001 BLACK:S,0,,,1,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562537,TNF TRIVERT BLACK P/O HOOD:001 BLACK:S,0,,,1,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562563,TNF TRIVERT BLUE HTHR P/O HOOD:401 BLUE DARK OTH:M,0,,,1,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562579,TNF TRIVERT WORN BLUE P/O HOOD:420 BLUE MED OTHE:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562661,THE NORTHFACE HALF DOME HOODIE DKGRY:021 GREY DARK O:L,0,,,1,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562814,THE NORTHFACE THERMOWOOL CRW SWTR BLK:001 BLACK:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562814,THE NORTHFACE THERMOWOOL CRW SWTR BLK:001 BLACK:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562821,THE NORTHFACE THERMOWOOL CRW SWTR MED GREY:030 GREY DARK:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562821,THE NORTHFACE THERMOWOOL CRW SWTR MED GREY:030 GREY DARK:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562827,THE NORTHFACE THERMOWOOL CRW SWTR BLUE:401 BLUE DARK O:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562827,THE NORTHFACE THERMOWOOL CRW SWTR BLUE:401 BLUE DARK O:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562827,THE NORTHFACE THERMOWOOL CRW SWTR BLUE:401 BLUE DARK O:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562833,THE NORTHFACE THERMOWOOL CRW SWTR RED:601 RED DARK OT:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562833,THE NORTHFACE THERMOWOOL CRW SWTR RED:601 RED DARK OT:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562833,THE NORTHFACE THERMOWOOL CRW SWTR RED:601 RED DARK OT:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562833,THE NORTHFACE THERMOWOOL CRW SWTR RED:601 RED DARK OT:XL,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562839,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BRWN:201 BROWN DRK O:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562839,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BRWN:201 BROWN DRK O:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562839,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BRWN:201 BROWN DRK O:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562839,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BRWN:201 BROWN DRK O:XL,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562845,THE NORTHFACE MT.TAM 1/4 ZIP SWTR GREEN:301 GREEN DRK:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562845,THE NORTHFACE MT.TAM 1/4 ZIP SWTR GREEN:301 GREEN DRK:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562845,THE NORTHFACE MT.TAM 1/4 ZIP SWTR GREEN:301 GREEN DRK:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562852,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BLK:001 BLACK:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562852,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BLK:001 BLACK:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562859,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BLK/GRPHT:030 GREY DARK:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562859,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BLK/GRPHT:030 GREY DARK:M,0,,,1,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562859,THE NORTHFACE MT.TAM 1/4 ZIP SWTR BLK/GRPHT:030 GREY DARK:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562866,THE NORTHFACE MT.TAM 1/4 ZIP SWTR NAVY:401 BLUE DARK O:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562866,THE NORTHFACE MT.TAM 1/4 ZIP SWTR NAVY:401 BLUE DARK O:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562873,THE NORTHFACE MT.TAM 1/4 ZIP SWTR GREY:021 GREY DARK O:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,251:MENS OUTDR&ACTIVE,10562873,THE NORTHFACE MT.TAM 1/4 ZIP SWTR GREY:021 GREY DARK O:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,252:SMART HOME,10007547,RING DOORBELL- SATIN NICKEL,0,,,15,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,257:COMPUTER&PERIPHERALS,10562290,"F556UA-LH51-RD 15.6"" Ntbk, Red, i5 7200U, Exclusive",0,,,3,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,259:LADIES ACT/OUTDR/SRF,10562532,REEBOK REVERSIBLE CAPRI PURPLE:594 PURPLE OTHER:S,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,259:LADIES ACT/OUTDR/SRF,10562532,REEBOK REVERSIBLE CAPRI PURPLE:594 PURPLE OTHER:M,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,259:LADIES ACT/OUTDR/SRF,10562532,REEBOK REVERSIBLE CAPRI PURPLE:594 PURPLE OTHER:L,0,,,0,0,0,0
VIRTUAL ECOM DISTRIC,780,MYNAVYEXCHANGE.COM,259:LADIES ACT/OUTDR/SRF,10562532,REEBOK REVERSIBLE CAPRI PURPLE:594 PURPLE OTHER:XL,0,,,0,0,0,0
