PO_ID,Item_num,Item_desc,Txns,Sls_U,Sls_$
639850765,10666462,LEGO NEXO KNIGHTS 2ND SEASON,1.00,8.00,119.92
639850765,10340571,AIRPORT COMPLETE COLLECTION,1.00,8.00,199.92
639850807,10574264,SECRET LIFE OF PETS THE BD DVD DIGITAL,1.00,8.00,199.92
639850981,9939604,TERMINATOR GENISYS BD DVD,1.00,8.00,135.92
639851227,8354468,PROMETHEUS BD/DVD,1.00,8.00,143.92
639851291,10594553,ACCOUNTANT THE 1/10/17,1.00,8.00,159.92
639851291,10574263,KUBO AND THE TWO STRINGS BD DVD DIGITAL,1.00,8.00,199.92
639851315,10312345,X MEN 3 THE STAND DVD RPKG,1.00,8.00,47.92
639851315,10312344,X MEN 1D DVD RPKG,1.00,8.00,47.92
639851369,10269921,DEADPOOL,1.00,8.00,159.92
639851404,10081972,FAMILY GUY  SEASON 13,1.00,8.00,135.92
639851404,10004712,AMERICAN ULTRA,1.00,8.00,167.92
639851507,10443683,WARCRAFT MOVIE DVD,1.00,8.00,159.92
639851507,9610526,JOHN WICK,1.00,8.00,103.92
639851551,9939276,LEGO DC SUPER HEROES ATTACK OF THE LEGION OF DOOM,1.00,8.00,79.92
639851672,10666516,USS INDIANAPOLIS MEN OF COURAGE,1.00,8.00,159.92
639851672,10556248,LIGHT BETWEEN THE OCEANS THE 1/24/17,1.00,8.00,159.92
639851797,9939428,PITCH PERFECT 2 BD DVD,1.00,8.00,167.92
639851798,9851772,X MEN DAYS OF FUTURE PAST ROUGUE CUT,1.00,8.00,103.92
639851935,10574239,SAUSAGE PARTY,1.00,8.00,159.92
639851935,9939348,TEXAS RISING DVD DGCPY,1.00,8.00,143.92
639852123,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,383.92
639852226,10512371,BLOOD C COMPLETE SERIES,1.00,8.00,159.92
639852231,10556272,STAR TREK 3 MOVIE SET STAR TREK 2009 INTO DARKNESS,1.00,8.00,263.92
639852290,10149511,SPECTRE BD,1.00,8.00,159.92
639852380,10444781,DARK KNIGHT TRILOGY,1.00,8.00,199.92
639852490,10574249,WILD LIFE THE,1.00,8.00,183.92
639852658,9753063,AMERICAN SNIPER DVD UV,1.00,8.00,103.92
639852799,8386961,BRAVE,1.00,8.00,159.92
639852896,8065775,SOUTH PARK: 15TH SEASON,1.00,8.00,79.92
639853075,10666612,STAR TREK ENTERPRISE COMPLETE SERIES,1.00,8.00,463.92
639853366,10467937,XMEN APOCALYPSE BD DIGITAL,1.00,8.00,159.92
639853366,10444798,BATMAN V SUPERMAN DAWN OF JUSTICE BD+DVD+UV,1.00,8.00,223.92
639853376,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
639853397,10585422,RUROUNI KENSHIN PART II KYOTO INFERNO,1.00,8.00,159.68
639853759,9472759,STREET FIGHTER ASSASSINS FIST,1.00,8.00,60.00
639853761,10340548,BROTHERS GRIMBSBY BD UV,1.00,8.00,175.92
639853761,10039778,HOBBIT THE TRILOGY EXTENDED EDT,1.00,8.00,479.92
639853761,9472766,KIKIS DELIVERY SERVICE,1.00,8.00,159.92
639853761,6929651,HOWL'S MOVING CASTLE,1.00,8.00,143.92
639963352,8928971,LITTLE MERMAID II AND ARIELS BEGINNING,1.00,8.00,143.92
639963523,10637762,INFERNO DVD 1/24/17,1.00,8.00,159.92
639963672,8521511,RANGO (DVD),1.00,8.00,39.92
639964113,10585448,SNOWDEN BD DVD DIGITAL 12/27/16,1.00,8.00,215.92
639964193,10312471,ZOOTOPIA,1.00,8.00,159.92
639964295,10443697,WARCRAFT MOVIE BD DVD UV,1.00,8.00,199.92
639964376,10666617,INFINITE STRATOS 2,1.00,8.00,1039.92
639964460,10666516,USS INDIANAPOLIS MEN OF COURAGE,1.00,8.00,159.92
639964460,10122166,STRAIGHT OUTTA COMPTON,1.00,8.00,143.92
639964588,10081975,GREEN INFERNO THE,1.00,8.00,95.92
639964688,10512379,LIGHTS OUT,1.00,8.00,159.92
639964688,10467924,PARANORMAL ACTIVITY 6 MOVIE COLLECTION,1.00,8.00,175.92
639964688,10340485,OTHER SIDE OF THE DOOR THE,1.00,8.00,143.92
639964688,10004700,MR HOLMES,1.00,8.00,119.92
639965016,10528436,BAD MOMS 11/01/16,1.00,8.00,159.92
639965016,10443682,STAR TREK BEYOND DVD 11/01/16,1.00,8.00,159.92
639965016,10340506,10 CLOVERFIELD LANE,1.00,8.00,103.92
639965016,10312437,DIRTY GRANDPA,1.00,8.00,127.92
639965016,10269921,DEADPOOL,1.00,8.00,159.92
639965016,10245886,REVENANT,1.00,8.00,111.92
639965016,10245866,CONCUSSION DVD UV,1.00,8.00,103.92
639965016,10122166,STRAIGHT OUTTA COMPTON,1.00,8.00,143.92
639965016,9939194,UNFRIENDED,1.00,8.00,103.92
639965114,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,383.92
639965545,8880700,4 MOVIE SPOTLIGHT BEN STILLER,1.00,8.00,79.92
639965545,8880694,4 MOVIE SPOTLIGHT JAMIE FOXX,1.00,8.00,79.92
639965545,5287517,"GUARDIAN, THE",1.00,8.00,39.92
639965596,10637758,KEVIN HART WHAT NOW,1.00,8.00,159.92
639965598,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
639965598,10594553,ACCOUNTANT THE 1/10/17,1.00,8.00,159.92
639965607,9981446,TRAINWRECK BD DVD,1.00,8.00,143.92
639965607,9851715,LONGEST RIDE,1.00,8.00,183.92
639965607,9725775,FIFTY SHADES OF GREY,1.00,8.00,95.92
639965770,8316806,LUCKY ONE,1.00,8.00,39.92
640116889,10556160,DISTRICT 13 ULTIMATUM BLURAY,1.00,8.00,47.92
640116889,10556096,DRIVEN TO KILL,1.00,8.00,39.92
640116889,10082069,DEATH AT A FUNERAL,1.00,8.00,79.92
640116889,8216095,WRATH OF THE TITANS,1.00,8.00,39.92
640117072,9939569,DEAR SOFIA A ROYAL COLLECTION,1.00,8.00,87.92
640117170,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.68
640117248,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640117248,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,119.92
640117357,10666572,TRIAGE X COMPLETE COLLECTION,1.00,8.00,263.92
640117377,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640117442,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640117597,10697019,LILO AND STITCH 2 MOVIE COLLECTION REPACKAGE 2017,1.00,8.00,183.92
