Date,Txns,Sales
1-Feb-2015,52713,3702555
2-Feb-2015,51179,3304841
3-Feb-2015,47104,2249507
4-Feb-2015,48408,2556367
5-Feb-2015,47772,2378630
6-Feb-2015,56912,2947117
7-Feb-2015,62463,4029969
8-Feb-2015,50548,2999386
9-Feb-2015,46557,2226300
10-Feb-2015,48906,2388968
11-Feb-2015,55117,3245039
12-Feb-2015,63380,3638981
13-Feb-2015,93672,6354057
14-Feb-2015,76743,5633760
15-Feb-2015,53396,3677450
16-Feb-2015,46192,2949185
17-Feb-2015,37596,1743511
18-Feb-2015,47417,2300090
19-Feb-2015,50808,2666986
20-Feb-2015,55793,3016078
21-Feb-2015,60669,3937194
22-Feb-2015,47956,2866881
23-Feb-2015,44944,2026886
24-Feb-2015,47261,2235185
25-Feb-2015,51736,2703491
26-Feb-2015,45717,2507564
27-Feb-2015,64186,3653057
28-Feb-2015,67849,4652902
1-Mar-2015,51730,3386908
2-Mar-2015,49587,2355932
3-Mar-2015,49272,2450016
4-Mar-2015,51522,2539468
5-Mar-2015,44286,2170206
6-Mar-2015,56349,3058260
7-Mar-2015,62227,3818080
8-Mar-2015,48409,2826690
9-Mar-2015,44496,1912999
10-Mar-2015,45213,1894968
11-Mar-2015,67640,5593548
12-Mar-2015,65305,4163584
13-Mar-2015,71576,4691734
14-Mar-2015,74534,5950657
15-Mar-2015,58782,4393877
16-Mar-2015,55947,3133106
17-Mar-2015,63124,3839814
18-Mar-2015,50621,2432345
19-Mar-2015,51146,2436280
20-Mar-2015,57548,2974228
21-Mar-2015,60140,3759833
22-Mar-2015,47761,2940911
23-Mar-2015,45202,2044560
24-Mar-2015,50856,2295798
25-Mar-2015,53560,2627632
26-Mar-2015,50537,2374867
27-Mar-2015,61672,3765470
28-Mar-2015,63677,4434162
29-Mar-2015,53158,3551225
30-Mar-2015,47102,2240052
31-Mar-2015,57058,2912443
1-Apr-2015,59609,3285680
2-Apr-2015,59158,3109748
3-Apr-2015,66629,3809234
4-Apr-2015,67915,4453472
5-Apr-2015,36941,2185595
6-Apr-2015,49795,2364602
7-Apr-2015,50136,2449473
8-Apr-2015,53832,2957781
9-Apr-2015,52335,2641328
10-Apr-2015,58264,3118912
11-Apr-2015,60933,3811820
12-Apr-2015,48687,2925116
13-Apr-2015,45477,2123875
14-Apr-2015,51474,2590612
15-Apr-2015,57065,3313482
16-Apr-2015,54031,2795992
17-Apr-2015,68746,4792618
18-Apr-2015,80367,6995533
19-Apr-2015,48343,3006596
20-Apr-2015,46954,2166508
21-Apr-2015,49566,2404995
22-Apr-2015,49881,2511895
23-Apr-2015,50233,2519335
24-Apr-2015,56688,3041561
25-Apr-2015,55772,3818108
26-Apr-2015,47132,3033231
27-Apr-2015,44749,2168760
28-Apr-2015,45566,2247421
29-Apr-2015,60273,3966418
30-Apr-2015,61064,3425960
1-May-2015,64740,3802833
2-May-2015,65254,4412322
3-May-2015,52890,3373343
4-May-2015,54494,2751145
5-May-2015,53674,2800565
6-May-2015,60633,3268002
7-May-2015,59292,3157640
8-May-2015,66798,3889830
9-May-2015,75879,5190128
10-May-2015,52565,3434740
11-May-2015,48631,2269080
12-May-2015,51318,2413228
13-May-2015,53127,3530766
14-May-2015,56958,3276862
15-May-2015,61050,3520444
16-May-2015,63207,4299805
17-May-2015,53227,3582084
18-May-2015,48625,2462883
19-May-2015,50612,2653671
20-May-2015,58822,3276371
21-May-2015,58331,3185582
22-May-2015,69427,4467397
23-May-2015,64712,4732979
24-May-2015,51207,3659339
25-May-2015,42410,3208304
26-May-2015,50312,2594097
27-May-2015,50792,2455813
28-May-2015,53418,2648537
29-May-2015,63877,3407683
30-May-2015,62109,3975611
31-May-2015,51127,3133754
1-Jun-2015,51093,2563130
2-Jun-2015,50836,2524173
3-Jun-2015,52800,2789063
4-Jun-2015,53400,2730544
5-Jun-2015,60655,3328944
6-Jun-2015,58842,3715757
7-Jun-2015,49483,3010199
8-Jun-2015,48253,2297934
9-Jun-2015,48544,2386703
10-Jun-2015,51628,2869060
11-Jun-2015,52331,2695642
12-Jun-2015,61681,3449615
13-Jun-2015,60822,3965221
14-Jun-2015,50035,2989508
15-Jun-2015,49022,2369972
16-Jun-2015,49174,2417466
17-Jun-2015,67442,5726778
18-Jun-2015,61453,4252595
19-Jun-2015,67863,4681750
20-Jun-2015,69896,5803643
21-Jun-2015,51668,4030640
22-Jun-2015,54257,3185356
23-Jun-2015,59380,3930011
24-Jun-2015,48571,2306943
25-Jun-2015,48520,2382881
26-Jun-2015,52497,2678048
27-Jun-2015,51282,3166069
28-Jun-2015,41669,2513672
29-Jun-2015,43189,2068014
30-Jun-2015,53098,2752404
1-Jul-2015,71620,4947791
2-Jul-2015,71335,4316765
3-Jul-2015,65129,4420030
4-Jul-2015,37944,2350862
5-Jul-2015,40535,2595890
6-Jul-2015,47984,2564307
7-Jul-2015,49904,2548048
8-Jul-2015,48137,2327890
9-Jul-2015,48902,2386488
10-Jul-2015,53072,2610144
11-Jul-2015,52087,3032224
12-Jul-2015,43110,2429105
13-Jul-2015,42647,1816611
14-Jul-2015,48869,2325624
15-Jul-2015,66628,5185947
16-Jul-2015,58896,3699474
17-Jul-2015,63653,4124707
18-Jul-2015,63509,4903022
19-Jul-2015,53403,3901757
20-Jul-2015,53919,3172041
21-Jul-2015,60525,3890358
22-Jul-2015,48581,2298615
23-Jul-2015,48484,2298954
24-Jul-2015,54598,2783156
25-Jul-2015,53885,3310658
26-Jul-2015,44457,2609191
27-Jul-2015,46089,2098380
28-Jul-2015,45573,2170691
29-Jul-2015,52578,3503452
30-Jul-2015,55794,3118526
31-Jul-2015,63924,3727442
1-Aug-2015,62453,4229440
2-Aug-2015,51947,3379638
3-Aug-2015,50593,2594895
4-Aug-2015,50161,2674741
5-Aug-2015,49513,2598470
6-Aug-2015,49522,2491363
7-Aug-2015,56172,3056899
8-Aug-2015,55320,3551339
9-Aug-2015,47126,2804608
10-Aug-2015,45969,2189293
11-Aug-2015,46488,2266813
12-Aug-2015,62164,4901540
13-Aug-2015,61714,4195642
14-Aug-2015,68231,4577039
15-Aug-2015,68526,5319564
16-Aug-2015,55363,4169964
17-Aug-2015,54369,3210119
18-Aug-2015,61723,3996466
19-Aug-2015,49951,2597585
20-Aug-2015,49170,2597599
21-Aug-2015,56218,3194564
22-Aug-2015,55678,3526114
23-Aug-2015,46463,2898596
24-Aug-2015,44784,2131571
25-Aug-2015,47517,2451650
26-Aug-2015,59066,4088217
27-Aug-2015,57566,3219144
28-Aug-2015,56621,3184153
29-Aug-2015,60334,4210609
30-Aug-2015,52293,3463534
31-Aug-2015,48673,2475423
1-Sep-2015,52904,2868229
2-Sep-2015,56671,3199341
3-Sep-2015,56545,3107187
4-Sep-2015,67060,4283318
5-Sep-2015,64216,4814017
6-Sep-2015,50841,3725727
7-Sep-2015,45002,3367955
