Group_Num,Group_Desc,Year,AD_Week,Date,DoW,Ad_Day,Txns,SalesU,Sales$,BasketU,Basket$,AvgBskt$,AvgBsktU,GTxns,GSales$,GBasketU,GBasket$
246,WOMENS ATHLETIC SHOE,2016,0,1/31/2016,Sunday,5,38,32,1761,247,5534,146,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,0,2/1/2016,Monday,6,16,12,820,82,1704,107,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,0,2/2/2016,Tuesday,7,18,14,792,72,1926,107,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/3/2016,Wednesday,1,9,7,805,32,1136,126,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/4/2016,Thursday,2,7,7,463,98,1086,155,14,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/5/2016,Friday,3,16,12,891,55,1657,104,3,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/6/2016,Saturday,4,34,28,2278,222,6539,192,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/7/2016,Sunday,5,17,13,883,99,2016,119,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/8/2016,Monday,6,11,9,819,12,892,81,1,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,1,2/9/2016,Tuesday,7,13,11,820,53,1247,96,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/10/2016,Wednesday,1,20,19,1703,103,3046,152,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/11/2016,Thursday,2,22,17,1143,108,2983,136,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/12/2016,Friday,3,22,20,1426,142,3488,159,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/13/2016,Saturday,4,52,50,3450,319,9288,179,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/14/2016,Sunday,5,38,44,3263,217,6530,172,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/15/2016,Monday,6,20,19,1354,108,2501,125,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,2,2/16/2016,Tuesday,7,15,9,638,80,1960,131,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/17/2016,Wednesday,1,20,17,933,92,2646,132,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/18/2016,Thursday,2,19,14,989,76,1929,102,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/19/2016,Friday,3,14,13,978,98,2098,150,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/20/2016,Saturday,4,44,41,2683,380,8432,192,9,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/21/2016,Sunday,5,31,26,1656,218,6412,207,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/22/2016,Monday,6,14,15,1172,49,1642,117,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,3,2/23/2016,Tuesday,7,15,24,1354,105,3094,206,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/24/2016,Wednesday,1,56,64,2375,626,9103,163,11,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/25/2016,Thursday,2,22,20,912,312,4188,190,14,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/26/2016,Friday,3,28,21,1192,105,2439,87,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/27/2016,Saturday,4,52,50,2972,500,10334,199,10,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/28/2016,Sunday,5,21,17,1273,132,2803,133,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,2/29/2016,Monday,6,19,18,1338,67,2058,108,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,4,3/1/2016,Tuesday,7,20,18,1365,101,3104,155,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/2/2016,Wednesday,1,22,19,1264,161,2809,128,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/3/2016,Thursday,2,21,17,1044,65,2246,107,3,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/4/2016,Friday,3,19,15,1033,65,2148,113,3,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/5/2016,Saturday,4,51,52,3645,332,7997,157,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/6/2016,Sunday,5,29,28,1859,167,4255,147,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/7/2016,Monday,6,23,21,1790,238,5170,225,10,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,5,3/8/2016,Tuesday,7,26,25,1826,129,3550,137,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/9/2016,Wednesday,1,31,27,2082,227,4438,143,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/10/2016,Thursday,2,16,16,1069,109,2505,157,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/11/2016,Friday,3,27,27,2031,200,5883,218,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/12/2016,Saturday,4,59,59,3977,496,11269,191,8,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/13/2016,Sunday,5,40,41,2780,312,7274,182,8,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/14/2016,Monday,6,21,17,1139,63,1975,94,3,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,6,3/15/2016,Tuesday,7,25,24,1620,136,4107,164,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/16/2016,Wednesday,1,21,15,1069,67,2564,122,3,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/17/2016,Thursday,2,22,24,1561,136,3061,139,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/18/2016,Friday,3,18,21,1508,183,3375,188,10,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/19/2016,Saturday,4,48,47,3068,429,9674,202,9,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/20/2016,Sunday,5,35,32,2219,217,6271,179,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/21/2016,Monday,6,22,20,1372,118,2917,133,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,7,3/22/2016,Tuesday,7,25,24,1382,161,3191,128,6,1,17,1,17
246,WOMENS ATHLETIC SHOE,2016,8,3/23/2016,Wednesday,1,17,7,501,48,1236,73,3,5,380,19,765
246,WOMENS ATHLETIC SHOE,2016,8,3/24/2016,Thursday,2,16,11,721,56,1605,100,4,7,560,28,1062
246,WOMENS ATHLETIC SHOE,2016,8,3/25/2016,Friday,3,32,35,2479,193,4812,150,6,19,1360,92,2444
246,WOMENS ATHLETIC SHOE,2016,8,3/26/2016,Saturday,4,51,49,3009,333,7466,146,7,16,703,88,1755
246,WOMENS ATHLETIC SHOE,2016,8,3/27/2016,Sunday,5,14,14,924,123,2185,156,9,3,188,23,408
246,WOMENS ATHLETIC SHOE,2016,8,3/28/2016,Monday,6,16,14,747,87,2302,144,5,5,237,20,441
246,WOMENS ATHLETIC SHOE,2016,8,3/29/2016,Tuesday,7,15,17,1023,102,2085,139,7,4,232,9,313
246,WOMENS ATHLETIC SHOE,2016,9,3/30/2016,Wednesday,1,39,45,2017,350,6320,162,9,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,3/31/2016,Thursday,2,23,22,1174,138,3727,162,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,4/1/2016,Friday,3,75,75,4405,632,14036,187,8,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,4/2/2016,Saturday,4,96,102,6002,806,18351,191,8,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,4/3/2016,Sunday,5,78,83,5051,534,13597,174,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,4/4/2016,Monday,6,20,18,1087,96,2643,132,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,9,4/5/2016,Tuesday,7,21,22,1622,87,2622,125,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/6/2016,Wednesday,1,18,18,1462,128,3001,167,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/7/2016,Thursday,2,18,18,1062,111,2430,135,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/8/2016,Friday,3,21,17,1214,92,2257,107,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/9/2016,Saturday,4,39,39,2755,277,5898,151,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/10/2016,Sunday,5,25,21,1366,144,3108,124,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/11/2016,Monday,6,17,18,1081,95,2284,134,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,10,4/12/2016,Tuesday,7,9,5,298,38,1045,116,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/13/2016,Wednesday,1,30,29,1922,167,4210,140,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/14/2016,Thursday,2,32,26,1553,193,4869,152,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/15/2016,Friday,3,40,36,2584,269,6302,158,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/16/2016,Saturday,4,60,54,3583,371,8746,146,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/17/2016,Sunday,5,35,38,2513,244,6831,195,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/18/2016,Monday,6,25,25,1478,98,2154,86,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,11,4/19/2016,Tuesday,7,30,30,1938,106,3369,112,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/20/2016,Wednesday,1,13,13,1028,81,2352,181,6,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/21/2016,Thursday,2,14,8,521,95,1709,122,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/22/2016,Friday,3,27,19,1278,198,3557,132,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/23/2016,Saturday,4,47,46,3300,323,7185,153,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/24/2016,Sunday,5,33,27,1720,240,4895,148,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/25/2016,Monday,6,14,14,1023,104,2317,165,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,12,4/26/2016,Tuesday,7,13,12,1002,71,1761,135,5,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,4/27/2016,Wednesday,1,60,65,2720,795,12360,206,13,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,4/28/2016,Thursday,2,22,25,1303,159,3030,138,7,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,4/29/2016,Friday,3,58,58,2860,499,10634,183,9,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,4/30/2016,Saturday,4,81,83,5212,740,15574,192,9,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,5/1/2016,Sunday,5,49,55,3471,488,11478,234,10,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,5/2/2016,Monday,6,15,8,702,60,1414,94,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,13,5/3/2016,Tuesday,7,13,14,1052,57,1987,153,4,0,0,0,0
246,WOMENS ATHLETIC SHOE,2016,14,5/4/2016,Wednesday,1,26,25,1617,135,3870,149,5,10,545,26,1124
246,WOMENS ATHLETIC SHOE,2016,14,5/5/2016,Thursday,2,25,21,1421,115,2910,116,5,8,524,21,600
