Month,Date,Day of Week,POS Txn,Style,Dept,Txns,Sales U,Sales $,BasketU,Basket$,AvgBskt$,AvgBsktU
2017:03-APR,4/19/2017,Wednesday,652707275,10651071:S17 SS NAUTICA  HERITAGE POLO,0470:BOYS 8-20 CLOTHING,1.00,1.00,9.09,3.00,25.07,25.07,3.00
2017:03-APR,4/19/2017,Wednesday,652707275,10700829:SL FIT/FLARE KNT SUNDRESS,0421:TODDLER GIRL APPAREL,1.00,1.00,7.99,3.00,25.07,25.07,3.00
2017:03-APR,4/19/2017,Wednesday,652707275,10703049:SL FIT/FLARE KNT SUNDRESS,0430:GIRLS 4-6X CLOTHING,1.00,1.00,7.99,3.00,25.07,25.07,3.00
2017:03-APR,4/19/2017,Wednesday,652707275,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1.00,1.00,0.00,3.00,25.07,25.07,3.00
2017:03-APR,4/19/2017,Wednesday,652707276,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1.00,1.00,0.00,1.00,101.49,101.49,1.00
2017:03-APR,4/19/2017,Wednesday,652707276,10794119:JJB B.F.F - PROVIDENCE,0411:PEGABLES,1.00,1.00,101.49,1.00,101.49,101.49,1.00
2017:03-APR,4/19/2017,Wednesday,652707282,10206423:NORTHFACE M'S PARAMOUNT PEAK II CONVERTIBLE PANT,0353:MENS OUTDOOR,1.00,1.00,39.19,1.00,39.19,39.19,1.00
2017:03-APR,4/19/2017,Wednesday,652707282,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1.00,1.00,0.00,1.00,39.19,39.19,1.00
2017:03-APR,4/19/2017,Wednesday,652707283,10781399:COLUMBIA SILVER RIDGE STRETCH PANT MOSS,0353:MENS OUTDOOR,1.00,1.00,36.39,1.00,36.39,36.39,1.00
2017:03-APR,4/19/2017,Wednesday,652707283,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1.00,1.00,0.00,1.00,36.39,36.39,1.00
