desc,num,txns,desc2
FREE LAYAWAY-COUPON,10019209,865.00,'FREE LAYAWAY-COUPON
$10 OFF A $100 TOY PURCHASE-COUPON,10019228,1710.00,'$10 OFF A $100 TOY PURCHASE-COUPON
$5 OFF GILLETTE CARTRIDGE 12CT OR HIGHER,10034733,1119.00,'$5 OFF GILLETTE CARTRIDGE 12CT OR HIGHER
$3 OFF GILLETTE CARTRIDGE 4CT OR HIGHER,10034743,1559.00,'$3 OFF GILLETTE CARTRIDGE 4CT OR HIGHER
$1 OFF GILLETTE PREMIUM SYSTEMS,10034751,1365.00,'$1 OFF GILLETTE PREMIUM SYSTEMS
5% OFF YOUR FIRST PURCHASE,10060478,4.00,'5% OFF YOUR FIRST PURCHASE
$10 OFF $75 OR MORE PURCHASE,10068265,25420.00,'$10 OFF $75 OR MORE PURCHASE
$5 OFF $50 OR MORE PURCHASE,10078474,12692.00,'$5 OFF $50 OR MORE PURCHASE
$10 OFF $100 OR MORE PURCHASE,10078500,13874.00,'$10 OFF $100 OR MORE PURCHASE
$20 OFF $200 OR MORE PURCHASE,10078522,11689.00,'$20 OFF $200 OR MORE PURCHASE
$10 OFF YOUR PURCHASE OF $50 OR MORE,10088423,11.00,'$10 OFF YOUR PURCHASE OF $50 OR MORE
$10 OFF $75 OR MORE PURCHASE,10107849,61384.00,'$10 OFF $75 OR MORE PURCHASE
$5 OFF BABY FORMULA PURCHASE OF $30 OR MORE,10112481,461.00,'$5 OFF BABY FORMULA PURCHASE OF $30 OR MORE
"$10 OFF CRIB, STROLLER OR CAR SEAT PURCHASE OF $10",10112482,1012.00,"'$10 OFF CRIB, STROLLER OR CAR SEAT PURCHASE OF $10"
$10 OFF BABY VIDEO MONITOR PURCHASE OF $100 OR MOR,10112485,67.00,'$10 OFF BABY VIDEO MONITOR PURCHASE OF $100 OR MOR
20% OFF ANY HOME ITEM,10116368,4935.00,'20% OFF ANY HOME ITEM
20% OFF ANY SHOE OR ACCESSORIES ITEM,10116369,4516.00,'20% OFF ANY SHOE OR ACCESSORIES ITEM
$10 OFF ANY SALON SERVICE $50 OR MORE,10116370,922.00,'$10 OFF ANY SALON SERVICE $50 OR MORE
20% OFF ANY APPAREL ITEM,10116652,1981.00,'20% OFF ANY APPAREL ITEM
10% Off Any Estee Lauder OR Clinique Item,10154126,1687.00,'10% Off Any Estee Lauder OR Clinique Item
20% Off Entire Stock of Select Hair Care Brands Fr,10154154,184.00,'20% Off Entire Stock of Select Hair Care Brands Fr
"20% Off Entire Stock of L'Oreal, Maybelline, And C",10154172,475.00,"'20% Off Entire Stock of L'Oreal, Maybelline, And C"
$1 OFF ANY 2 HERSHEY CANDY DISH BAGS,10171219,65.00,'$1 OFF ANY 2 HERSHEY CANDY DISH BAGS
SCRATCH OFF PROMO MARCH 16-22 2016,10177890,122984.00,'SCRATCH OFF PROMO MARCH 16-22 2016
20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPLIANCE,10178069,1183.00,'20% OFF ANY SINGLE ITEM IN SMALL KITCHEN APPLIANCE
$15 OFF ANY FUTURE PURCHASE AFTER A PURCHASE OF $1,10178071,29099.00,'$15 OFF ANY FUTURE PURCHASE AFTER A PURCHASE OF $1
"FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL",10179035,544.00,"'FREE HOME DELIVERY FURNITURE, MATTRESS, MAJOR APPL"
70th Anniversary NEX Scratch-off,10205857,109795.00,'70th Anniversary NEX Scratch-off
"$5 OFF PAMPERS, HUGGIES, LUVS PURCHASE OF $45 OR M",10217642,396.00,"'$5 OFF PAMPERS, HUGGIES, LUVS PURCHASE OF $45 OR M"
20% OFF ANY SINGLE ITEM (SHOES),10222338,5477.00,'20% OFF ANY SINGLE ITEM (SHOES)
"20% OFF ANY SINGLE ITEM (HANDBAG, WATCH OR SUNGLAS",10222347,4138.00,"'20% OFF ANY SINGLE ITEM (HANDBAG, WATCH OR SUNGLAS"
