Date,# Txns,Sales U,Sales $
1-Feb-2015,52713.00,242820.98,3702554.51
2-Feb-2015,51179.00,209219.29,3304841.10
3-Feb-2015,47104.00,175643.67,2249507.40
4-Feb-2015,48408.00,184725.73,2556367.22
5-Feb-2015,47772.00,184889.09,2378630.13
6-Feb-2015,56912.00,226601.66,2947116.57
7-Feb-2015,62463.00,276131.75,4029969.36
8-Feb-2015,50548.00,219208.27,2999385.64
9-Feb-2015,46557.00,177721.57,2226300.34
10-Feb-2015,48906.00,192312.30,2388968.09
11-Feb-2015,55117.00,233746.44,3245038.92
12-Feb-2015,63380.00,260388.22,3638980.72
13-Feb-2015,93672.00,404278.08,6354056.50
14-Feb-2015,76743.00,360574.96,5633760.39
15-Feb-2015,53396.00,246649.79,3677450.22
16-Feb-2015,46192.00,202056.48,2949184.94
17-Feb-2015,37596.00,144700.79,1743511.16
18-Feb-2015,47417.00,188362.96,2300089.52
19-Feb-2015,50808.00,220302.12,2666985.80
20-Feb-2015,55793.00,228004.61,3016078.26
21-Feb-2015,60669.00,274421.89,3937194.47
22-Feb-2015,47956.00,212962.58,2866881.39
23-Feb-2015,44944.00,171548.61,2026885.82
24-Feb-2015,47261.00,184989.84,2235184.70
25-Feb-2015,51736.00,206358.13,2703491.16
26-Feb-2015,45717.00,185633.87,2507563.58
27-Feb-2015,64186.00,268342.47,3653056.69
28-Feb-2015,67849.00,316469.92,4652901.97
1-Mar-2015,51730.00,237723.62,3386907.67
2-Mar-2015,49587.00,196754.53,2355931.92
3-Mar-2015,49272.00,192921.91,2450016.25
4-Mar-2015,51522.00,208966.66,2539468.01
5-Mar-2015,44286.00,175970.50,2170205.95
6-Mar-2015,56349.00,233110.21,3058259.61
7-Mar-2015,62227.00,282715.86,3818079.99
8-Mar-2015,48409.00,220730.59,2826689.71
9-Mar-2015,44496.00,171346.94,1912999.13
10-Mar-2015,45213.00,172199.56,1894967.55
11-Mar-2015,67640.00,310658.23,5593548.04
12-Mar-2015,65305.00,294511.28,4163583.58
13-Mar-2015,71576.00,323049.47,4691733.66
14-Mar-2015,74534.00,374785.30,5950657.46
15-Mar-2015,58782.00,284749.51,4393876.82
16-Mar-2015,55947.00,233624.36,3133105.69
17-Mar-2015,63124.00,263752.61,3839814.10
18-Mar-2015,50621.00,205877.70,2432345.07
19-Mar-2015,51146.00,203312.10,2436280.33
20-Mar-2015,57548.00,242349.47,2974228.24
21-Mar-2015,60140.00,271261.56,3759832.57
22-Mar-2015,47761.00,220968.56,2940911.41
23-Mar-2015,45202.00,178300.66,2044560.21
24-Mar-2015,50856.00,210948.16,2295797.55
25-Mar-2015,53560.00,227426.80,2627631.57
26-Mar-2015,50537.00,209417.74,2374866.68
27-Mar-2015,61672.00,265685.66,3765470.42
28-Mar-2015,63677.00,305529.25,4434161.58
29-Mar-2015,53158.00,258463.46,3551224.67
30-Mar-2015,47102.00,193638.08,2240051.58
31-Mar-2015,57058.00,243285.62,2912443.24
1-Apr-2015,59609.00,267391.43,3285679.93
2-Apr-2015,59158.00,265582.82,3109747.93
3-Apr-2015,66629.00,309066.15,3809233.70
4-Apr-2015,67915.00,340948.72,4453472.33
5-Apr-2015,36941.00,159966.84,2185594.92
6-Apr-2015,49795.00,208440.09,2364601.64
7-Apr-2015,50136.00,204481.60,2449473.43
8-Apr-2015,53832.00,221591.74,2957780.92
9-Apr-2015,52335.00,216395.13,2641328.29
10-Apr-2015,58264.00,241528.34,3118912.44
11-Apr-2015,60933.00,272714.69,3811820.44
12-Apr-2015,48687.00,218440.52,2925116.37
13-Apr-2015,45477.00,181869.38,2123875.01
14-Apr-2015,51474.00,208176.03,2590611.78
15-Apr-2015,57065.00,247918.80,3313481.76
16-Apr-2015,54031.00,223404.06,2795991.56
17-Apr-2015,68746.00,290851.34,4792618.37
18-Apr-2015,80367.00,382239.87,6995533.28
19-Apr-2015,48343.00,215017.72,3006596.36
20-Apr-2015,46954.00,183596.19,2166507.85
21-Apr-2015,49566.00,194714.09,2404995.10
22-Apr-2015,49881.00,194984.62,2511895.08
23-Apr-2015,50233.00,202698.84,2519334.69
24-Apr-2015,56688.00,229417.81,3041561.47
25-Apr-2015,55772.00,250467.32,3818108.36
26-Apr-2015,47132.00,208516.19,3033230.61
27-Apr-2015,44749.00,172170.73,2168759.98
28-Apr-2015,45566.00,175238.95,2247421.24
29-Apr-2015,60273.00,267181.51,3966417.89
30-Apr-2015,61064.00,257813.72,3425960.20
1-May-2015,64740.00,266324.80,3802833.00
2-May-2015,65254.00,290535.32,4412322.44
3-May-2015,52890.00,237087.81,3373342.59
