format,fy,date,txns
DEPOT,2016,1/31/2016,129
DEPOT,2016,2/1/2016,406
DEPOT,2016,2/2/2016,432
DEPOT,2016,2/3/2016,433
DEPOT,2016,2/4/2016,416
DEPOT,2016,2/5/2016,327
DEPOT,2016,2/6/2016,136
DEPOT,2016,2/7/2016,107
DEPOT,2016,2/8/2016,339
DEPOT,2016,2/9/2016,369
DEPOT,2016,2/10/2016,383
DEPOT,2016,2/11/2016,402
DEPOT,2016,2/12/2016,291
DEPOT,2016,2/13/2016,116
DEPOT,2016,2/14/2016,39
DEPOT,2016,2/15/2016,92
DEPOT,2016,2/16/2016,417
DEPOT,2016,2/17/2016,444
DEPOT,2016,2/18/2016,381
DEPOT,2016,2/19/2016,340
DEPOT,2016,2/20/2016,141
DEPOT,2016,2/21/2016,125
DEPOT,2016,2/22/2016,406
DEPOT,2016,2/23/2016,355
DEPOT,2016,2/24/2016,346
DEPOT,2016,2/25/2016,334
DEPOT,2016,2/26/2016,310
DEPOT,2016,2/27/2016,92
DEPOT,2016,2/28/2016,78
DEPOT,2016,2/29/2016,330
DEPOT,2016,3/1/2016,368
DEPOT,2016,3/2/2016,326
DEPOT,2016,3/3/2016,287
DEPOT,2016,3/4/2016,252
DEPOT,2016,3/5/2016,88
DEPOT,2016,3/6/2016,89
DEPOT,2016,3/7/2016,332
DEPOT,2016,3/8/2016,336
DEPOT,2016,3/9/2016,306
DEPOT,2016,3/10/2016,351
DEPOT,2016,3/11/2016,239
DEPOT,2016,3/12/2016,94
DEPOT,2016,3/13/2016,82
DEPOT,2016,3/14/2016,340
DEPOT,2016,3/15/2016,341
DEPOT,2016,3/16/2016,329
DEPOT,2016,3/17/2016,329
DEPOT,2016,3/18/2016,261
DEPOT,2016,3/19/2016,88
DEPOT,2016,3/20/2016,66
DEPOT,2016,3/21/2016,353
DEPOT,2016,3/22/2016,369
DEPOT,2016,3/23/2016,341
DEPOT,2016,3/24/2016,305
DEPOT,2016,3/25/2016,220
DEPOT,2016,3/26/2016,68
DEPOT,2016,3/27/2016,51
DEPOT,2016,3/28/2016,311
DEPOT,2016,3/29/2016,368
DEPOT,2016,3/30/2016,302
DEPOT,2016,3/31/2016,376
DEPOT,2016,4/1/2016,298
DEPOT,2016,4/2/2016,86
DEPOT,2016,4/3/2016,112
DEPOT,2016,4/4/2016,400
DEPOT,2016,4/5/2016,335
DEPOT,2016,4/6/2016,370
DEPOT,2016,4/7/2016,304
DEPOT,2016,4/8/2016,262
DEPOT,2016,4/9/2016,88
