ID,POS Txn,Style,Item,Desc,# Txns
1,639846905,2665918,1,M&M PNUT KNG SZ,1
1,639846905,2879705,2,MT DEW 20OZ PET,1
2,639846906,2657857,3,(FE11) M&M PNUT SNGL,1
2,639846906,2659212,4,(FE11) SNICKERS SNGL,1
2,639846906,4078327,5,(FE11) TWX SNGL 1.79 OZ,1
3,639846912,814617,6,"MB HEFTY FOAM PLATES 8 7/8"" 50CT",1
4,639846915,7399536,7,PROFEET 10 PK CREW SOCKS V#5000/10BC,1
4,639846915,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
5,639846927,2955897,9,"45"" BLK BELT W/POLISH SLVR TIP",1
5,639846927,4407879,10,CLR DVC/AWC E5 MF (SU),1
6,639850712,7399536,7,PROFEET 10 PK CREW SOCKS V#5000/10BC,1
7,639850713,7270074,11,GOLD TOE 6 PK CREW COTTON BANDED SOCK:#001 BLACK B,1
8,639850723,13437811,12,T/T Q-TIPS PURSE PACK 30CT,1
9,639850744,6573119,13,COTTONELLE MOIST WIPES REFILL 2x42 CT,1
10,639850792,6698867,14,EXSEL 200CT CTN BALLS TRPL,1
11,639850795,4582107,15,KIWI PASTE POLISH BLACK 1 1/8 OZ,1
12,639850807,10266140,16,ANGEL SOFT 12 DR BATH TISSUE REGULAR 264 SHT,1
13,639850810,7270074,11,GOLD TOE 6 PK CREW COTTON BANDED SOCK:#001 BLACK B,1
14,639850825,7399536,7,PROFEET 10 PK CREW SOCKS V#5000/10BC,1
14,639850825,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
15,639850832,3182134,17,DEER PARK SPRING WATER 700ML SPORT TOP PET,1
16,639850835,11801551,18,BODY BENEFITS FIT MENS SPONGE,1
17,639850837,12138241,19,PROFEET 6 PACK CREW SOCKS,1
17,639850837,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
18,639850839,8172444,20,NWU PARKA RANK TAB E5 (2/C),1
18,639850839,8766179,21,NWU BOOT BAND,1
18,639850839,10389195,22,T-SHT NWU 100% COTN LG 3PK,1
19,639850845,4652624,23,EXSEL WHITE COTTON BALLS TRP 100CT NVR OUT,1
20,639850850,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
20,639850850,10807343,25,RESTORE SHOE CARE KIT,1
21,639850862,11167996,26,HV FE) EN MAX BATTERY AAA 8PK,1
22,639850865,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
23,639850892,10392440,27,T-SHT NWU 100%COTN MED 3PK,1
24,639850905,7270074,11,GOLD TOE 6 PK CREW COTTON BANDED SOCK:#001 BLACK B,1
25,639850906,7270074,11,GOLD TOE 6 PK CREW COTTON BANDED SOCK:#001 BLACK B,1
26,639850921,2665918,1,M&M PNUT KNG SZ,1
27,639850942,7399536,7,PROFEET 10 PK CREW SOCKS V#5000/10BC,1
28,639850957,12138241,19,PROFEET 6 PACK CREW SOCKS,1
29,639850958,7399536,7,PROFEET 10 PK CREW SOCKS V#5000/10BC,1
30,639850960,2896042,28,BDG SURF WARF ENL REG OX,1
31,639850985,12375619,29,HANES 6 PACK CREWNECK T-SHIRT,1
32,639850990,12576621,30,APPLE MD818AM/A LIGHTNING TO USB CABLE-ZML,1
33,639850992,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
34,639850996,2950297,31,Blue Knit Cap,1
35,639850999,2655548,32,(FE11) REESES PNUT BUTTER CUP KNG SZ,1
35,639850999,4576684,33,GATORADE FROST GLACIER FREEZE 32OZ PET,1
