loc,order_nbr,item
9,18664973,3689555
9,18664973,6057064
9,18664973,10777331
9,18681295,103114
9,18738170,8110623
9,18822149,8669508
10,18664974,3689555
10,18664974,6057064
10,18664974,10253542
10,18664974,10254578
10,18664974,10777331
10,18664974,10777437
10,18664974,10777548
10,18681296,103114
10,18681296,9759955
10,18738171,8110623
10,18738404,533883
10,18822150,3638930
10,18822150,3638931
10,18822150,8669508
16,18664975,3689555
16,18664975,6057064
16,18664975,10253542
16,18664975,10254578
16,18664975,10777331
16,18664975,10777437
16,18664975,10777548
16,18681297,103114
16,18681297,9759955
16,18738172,8110623
16,18738405,533883
16,18822151,3638930
16,18822151,3638931
16,18822151,8669508
17,18664976,3689555
17,18664976,6057064
17,18664976,10777331
20,18664977,3689555
20,18664977,6057064
20,18664977,10777331
20,18681298,103114
20,18681298,9759955
20,18738406,533883
21,18664978,3689555
21,18664978,6057064
21,18664978,10777331
21,18681299,103114
21,18738173,8110623
21,18738407,533883
21,18822152,3638930
21,18822152,8669508
24,18664979,6057064
24,18664979,10777331
24,18681300,9759955
28,18664980,3689555
28,18664980,6057064
28,18664980,10777331
28,18664980,10777437
28,18681301,103114
28,18681301,9759955
28,18738175,8110623
28,18738408,533883
28,18822153,3638930
28,18822153,8669508
29,18664981,3689555
29,18664981,6057064
29,18664981,10777331
29,18681302,103114
29,18681302,9759955
29,18738176,8110623
29,18738409,533883
29,18822154,3638930
29,18822154,8669508
32,18664982,3689555
32,18664982,6057064
32,18664982,10777331
32,18681303,103114
32,18681303,9759955
32,18738177,8110623
32,18738410,533883
32,18822155,3638930
32,18822155,8669508
34,18664983,3689555
34,18664983,6057064
34,18664983,10253542
34,18664983,10254578
34,18664983,10777331
34,18664983,10777437
34,18664983,10777548
34,18681304,103114
34,18681304,9759955
34,18738178,8110623
34,18738411,533883
34,18822156,3638930
34,18822156,3638931
34,18822156,8669508
39,18664984,3689555
39,18664984,6057064
39,18664984,10777331
39,18681305,103114
39,18681305,9759955
39,18738179,8110623
39,18738412,533883
39,18822157,3638930
39,18822157,8669508
52,18664985,3689555
52,18664985,6057064
52,18664985,10777331
52,18681306,103114
52,18681306,9759955
52,18738413,533883
52,18822158,3638930
52,18822158,8669508
55,18664986,3689555
55,18664986,6057064
55,18664986,10253542
55,18664986,10254578
55,18664986,10777331
55,18664986,10777437
55,18664986,10777548
55,18681307,103114
55,18681307,9759955
55,18738181,8110623
55,18738414,533883
55,18822159,3638930
55,18822159,3638931
55,18822159,8669508
57,18664987,3689555
57,18664987,6057064
57,18664987,10253542
57,18664987,10777331
57,18664987,10777437
57,18664987,10777548
57,18681308,103114
57,18681308,9759955
57,18738182,8110623
57,18738415,533883
57,18822160,8669508
62,18664988,3689555
62,18664988,6057064
62,18664988,10777331
62,18681309,103114
62,18681309,9759955
62,18738183,8110623
62,18822161,3638930
62,18822161,8669508
67,18664989,3689555
67,18664989,6057064
67,18664989,10253542
67,18664989,10254578
67,18664989,10777331
67,18664989,10777437
67,18664989,10777548
67,18681310,103114
67,18681310,9759955
67,18738184,8110623
67,18738417,533883
67,18822162,3638930
67,18822162,8669508
78,18664990,3689555
78,18664990,6057064
78,18664990,10777331
78,18681311,103114
79,18664991,3689555
79,18664991,6057064
79,18664991,10777331
79,18681312,103114
79,18681312,9759955
80,18664992,3689555
80,18664992,6057064
80,18664992,10777331
80,18681313,103114
80,18681313,9759955
80,18738185,8110623
80,18738419,533883
80,18822163,8669508
82,18664993,3689555
82,18664993,6057064
82,18664993,10777331
82,18681314,103114
82,18681314,9759955
87,18664994,3689555
87,18664994,6057064
87,18664994,10777331
87,18681315,103114
87,18681315,9759955
87,18738186,8110623
87,18738420,533883
87,18822164,3638930
87,18822164,8669508
93,18664995,3689555
93,18664995,6057064
93,18664995,10253542
93,18664995,10254578
93,18664995,10777331
93,18664995,10777437
93,18664995,10777548
93,18681316,103114
93,18681316,9759955
93,18738187,8110623
93,18738421,533883
93,18822165,3638930
93,18822165,3638931
93,18822165,8669508
96,18664996,3689555
96,18664996,6057064
96,18664996,10777331
96,18681317,103114
97,18664997,3689555
97,18664997,6057064
97,18664997,10777331
97,18681318,103114
97,18681318,9759955
97,18738422,533883
97,18822166,8669508
104,18665030,3689555
104,18665030,6057064
104,18665030,10777331
104,18681327,103114
104,18681327,9759955
104,18738043,533883
104,18822196,8669508
107,18665031,3689555
107,18665031,6057064
107,18665031,10777331
107,18681328,103114
107,18738044,533883
107,18738194,8110623
107,18822197,8669508
110,18665032,3689555
110,18665032,6057064
110,18665032,10253542
110,18665032,10254578
110,18665032,10777331
110,18665032,10777437
110,18665032,10777548
110,18681329,103114
110,18681329,9759955
110,18738045,533883
110,18738195,8110623
110,18822198,3638930
110,18822198,8669508
116,18665033,10777331
116,18681330,103114
116,18738046,533883
131,18638732,3689555
131,18638732,6057064
131,18677420,103114
131,18722274,533883
138,18638732,3689555
138,18638732,6057064
138,18638732,10253542
138,18638732,10254578
138,18638732,10777331
138,18677420,103114
138,18722274,533883
164,18665034,3689555
164,18665034,6057064
164,18665034,10253542
164,18665034,10254578
164,18665034,10777331
164,18665034,10777437
164,18665034,10777548
164,18681331,103114
164,18681331,9759955
164,18738047,533883
164,18738196,8110623
164,18822199,3638930
164,18822199,3638931
164,18822199,8669508
166,18665035,3689555
166,18665035,6057064
166,18665035,10777331
166,18681332,103114
166,18738048,533883
166,18822200,8669508
169,18665036,3689555
169,18665036,6057064
169,18665036,10253542
169,18665036,10254578
169,18665036,10777331
169,18665036,10777437
169,18665036,10777548
169,18681333,103114
169,18681333,9759955
169,18738049,533883
169,18738197,8110623
169,18822201,3638930
169,18822201,3638931
169,18822201,8669508
182,18665037,3689555
182,18665037,6057064
182,18665037,10777331
182,18681334,103114
182,18681334,9759955
182,18738050,533883
182,18738198,8110623
182,18822202,3638930
182,18822202,8669508
